architecture,is_architecture,author/s,city,country,start_year,end_year,qty_title,qty_paragraph,qty_caption,qty_unassigned,qty,certainty_score,fuctional_type_infered,fuctional_type_classified,uses_wikipedia
Kindergarten,No,,,,,,,,,,,,,,
Daejeon University Residential College,Yes,Mass Studies,Daejeon,Korea,2017,2017,0,0,3,0,3,0.9993797541,house,University Housing,FALSE
Residential College,Yes,Craigdarroch College,Victoria,Canada,unanswerable,1970s,0,1,3,0,4,0.9163177609,non-teaching,University Housing,TRUE
Newman College,Yes,Griffin and Mahony,Melbourne,Australia,1917,1917,0,2,0,0,2,0.9864699244,house,University or College,FALSE
Standhill flats,No,,,,,,,,,,,,,,
Rose House,Yes,Rose House may refer to the historic houses,New York City,United States,1905,1905,0,0,1,0,1,0.9990092516,house,Hospital / Clinic / Dispensary,TRUE
Scarborough College,Yes,purpose-built building,Scarborough,England,2002,2002,0,1,1,1,3,0.9979400635,Prep,University or College,TRUE
Gund Hall,Yes,John Andrews,GSD,Australian,1936,1913,0,0,1,0,1,0.9997056127,house,Hospital / Clinic / Dispensary,TRUE
Memorial Hall,Yes,village halls,village,None,unanswerable,unanswerable,0,4,2,0,6,0.9989292622,Hall,Memorial,TRUE
Technical Education Complex,Yes,the architect/s behind the Technical Education Complex,San Diego,United States,1905,2003,0,0,0,1,1,0.9996393919,office,Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary,FALSE
Technical,No,,,,,,,,,,,,,,
Education Complex,Yes,Andrews,Woden,Australia,1981,1981,0,1,1,0,2,0.9985846877,office,University or College,FALSE
Marie Short House,Yes,Murcutt,Sydney,Australian,1974,1974,0,1,1,1,3,0.9992171327,"a sliding sunscreen outer layer of adjustable louvres; an intermediate sliding screen to keep out insects; and another layer of adjustable louvres in metal and glass in order to secure the house at night or during the winter months. Perhaps no one has written more appreciatively of Murcutt’s use of multiple membranes combined with sheet- metal roofs than Philip Drew in his 1987 study of Murcutt’s work entitled Leaves of /ron, with its knowing allusion to John Ruskin’s Stones of Venice of 1851. As Drew put it: 585 Murcutt, Marie Short / Glenn Murcutt House, Kempsey, New South Wales, 1974. One of the consequences of the side use of louvered screens is to enhance the continuity of the building surface since the louvers read as a change in the surface texture rather than as a break in the material. Moreover, the louvers add to the delicacy of the forms. The thinness of the iron sheets and the hard leaf-like character of the buildings is advanced by expressing the edges of the sheets and projecting the profile end sections of the break-pressed gutters.? Drew explains how Murcutt enhanced the ecological profile of his roofs by using skylights covered with fixed louvres, raised clear of the glass and angled at 32 degrees so as to exclude summer sun while permitting the entry of winter sunlight. Moreover, a second layer of break-pressed, corrugated iron was invariably added to the apex of the roof as a means of evacuating hot air from the house. Break pressing is a technique employed to bend metal sheet into the required profiles. Throughout his career, Murcutt has built in wood save for the structural frame and metal roof as we find in his Marika-",Hospital / Clinic / Dispensary,FALSE
Murcutt House,Yes,Glenn Murcutt,Kempsey,New Zealand,1974,1974,0,0,1,0,1,0.9970594645,house,Hospital / Clinic / Dispensary,FALSE
Marika - Alderton House,Yes,John Nash,London,United Kingdom,1905,1905,0,0,0,1,1,0.9988649487,house,Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital,FALSE
Boyd Education Centre,Yes,Wendy Lewin,West Cambewarra,Northern Territory,1999,1999,0,1,0,0,1,0.9997774959,dormitory,University or College,FALSE
Marika -,No,,,,,,,,,,,,,,
Alderton House,Yes,Murcutt,Northern Territory,Australia,1994,1994,0,0,3,0,3,0.987115562,house,Hospital / Clinic / Dispensary,FALSE
West Head House,Yes,Peter Stutchbury,New South Wales,Australia,1991,1991,0,1,0,0,1,0.9995622635,house,Hospital / Clinic / Dispensary,FALSE
Deepwater Woolshed,No,,,,,,,,,,,,,,
Dobie House,Yes,Gabriel Poole,Sunshine Coast,Australia,1970,1970,0,0,1,0,1,0.9998342395,house,Hospital / Clinic / Dispensary,FALSE
Rainbow Beach Housing,Yes,Lindsay and Kerry Clare,"Sunshine Coast, Queensland",Australia,1992,1992,0,0,1,0,1,0.9988850951,house,Hospital / Clinic / Dispensary,FALSE
Scientia Building,Yes,FJMT,Sydney,Australia,2000,2000,0,0,2,0,2,0.9845531285,house,Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary - Hospital / Clinic / Dispensary,FALSE
Surry Hills library,Yes,FIMT,Sydney,Australia,2009,2009,0,1,2,0,3,0.9973677993,library,Library,FALSE
Surry Hills Library,Yes,FIMT,Sydney,Australia,2009,2009,0,1,2,0,3,0.9884722829,library-cum- community centre,Library,FALSE
Owen G Glenn Business School,Yes,Owen G. Glenn,New York,United States,1905,1905,0,0,0,1,1,0.9991687536,office,University or College,FALSE
School Information Technologies,No,,,,,,,,,,,,,,
Tyree Energy Technologies building,Yes,FIMT,Sydney,Australia,2012,2012,0,0,0,1,1,0.9992547035,commercial,Power Plant,FALSE
Martin - Weber residence,Yes,Martin - Weber,San Francisco,United States,1905,1905,0,0,0,1,1,0.9790831208,residence,Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital,FALSE
Carter Tucker House,Yes,Sean Godsell,Melbourne,Australia,2000,2000,0,0,2,0,2,0.9989264905,vacation house,Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital / Clinic / Dispensary-Hospital,FALSE
Peninsula House,Yes,Sean Godsell,Melbourne,Australia,2003,2003,0,1,0,0,1,0.9994472265,house,Hospital / Clinic / Dispensary,FALSE
Woodleigh School science building,Yes,Sean Godsell,Victoria,Australia,2002,2002,0,0,1,0,1,0.9986028671,science,Laboratory,FALSE
State Theatre,Yes,Kerry Hill,Perth,Australia,2005,2010,0,0,1,0,1,0.9581665993,house,Theater,FALSE
Wellington,No,,,,,,,,,,,,,,
Orakei apartments,Yes,Ernst Plischke,Auckland,New Zealand,1941,1941,0,0,0,1,1,0.9898483753,house,Single-Family Housing,FALSE
Mount Eden apartments,Yes,Ernst Plischke,Auckland,New Zealand,1942,1942,0,1,0,0,1,0.9957017899,apartment,Motel,FALSE
Greys Avenue flats,Yes,Ernst Plischke,Auckland,New Zealand,1947,1947,0,1,0,0,1,0.9990299344,housing,Single-Family Housing,FALSE
Dixon Street flats,Yes,Housing Division of the Ministry,Wellington,New Zealand,Works,1947,0,0,2,0,2,0.9982641339,house,Single-Family Housing,TRUE
Kahn House,Yes,Ernst Plischke,Wellington,New Zealand,1942,1942,0,0,1,1,2,0.9984325767,house,Hospital / Clinic / Dispensary,FALSE
Tasman Memorial,Yes,Ernst Plischke,Wellington,New Zealand,1942,1942,0,0,1,1,2,0.9997111261,house,Memorial,FALSE
Dixon Street Flats,Yes,Housing Division of the Ministry,Wellington,New Zealand,Works,1947,0,0,2,0,2,0.9953547716,house,Single-Family Housing,TRUE
Massey House,Yes,Cedric Firth,Wellington,New Zealand,1951,1957,0,0,2,0,2,0.9993079901,house,Hospital / Clinic / Dispensary,FALSE
Dunedin Hospital,Yes,Dunstan,Dunedin,New Zealand,1865,2026,0,0,1,0,1,0.9936459064,Clinical Services Block,Hospital / Clinic / Dispensary,TRUE
AMP Building,Yes,Jack Manning,Auckland,New Zealand,1962,1962,0,1,0,0,1,0.9959967732,office,Hospital / Clinic / Dispensary,FALSE
Monro State Building,Yes,Cedric Firth,Nelson,New Zealand,1966,1966,0,1,0,0,1,0.9998492599,office,Government Administrative Offices,FALSE
Wellington Meteorological Office,No,,,,,,,,,,,,,,
Warren House,Yes,Warren and Mahoney,Christchurch,New Zealand,1962,1962,0,0,1,0,1,0.9990822673,residence,Hospital / Clinic / Dispensary,FALSE
Patterson House,Yes,John Scott,Christchurch,New Zealand,1967,1967,0,0,1,0,1,0.9996794462,residence,Hospital / Clinic / Dispensary,FALSE
Britten House,Yes,Roger Walker,Wellington,New Zealand,1974,1974,0,0,0,1,1,0.9998806715,residence,Hospital / Clinic / Dispensary,FALSE
Karamanos House,Yes,Dimitris Pikionis,Athens,Greece,1925,1925,0,1,1,1,3,0.9997798006,house,Hospital / Clinic / Dispensary,FALSE
Prague Castle,Yes,Hradany,Prague,Czech Republic,870,12th century,0,2,1,0,3,0.9993062019,Office,Government Palace,TRUE
De La Warr Pavilion,Yes,Serge Chermayeff,East Sussex,Britain,1935,1935,0,0,2,0,2,0.9650872052,house,Meeting Pavilion,FALSE
Penguin Pool,No,,,,,,,,,,,,,,
Sun House,Yes,The final answer,New York,United States,The final answer,The final answer: 1950,0,0,2,0,2,0.9945970774,house,Hospital / Clinic / Dispensary,TRUE
Boots Factory,Yes,"Skidmore, Owings & Merrill",Nottingham,United Kingdom,1932,1932,0,0,1,0,1,0.9962227345,office,Single-Brand Store,TRUE
